Nov. 2, 2023   13:10:47
Linear Sweep Voltammetry
1.172, -3.161e-7, -6.123e-6
1.171, -3.072e-7, -6.153e-6
1.170, -2.876e-7, -6.182e-6
1.169, -2.739e-7, -6.210e-6
1.168, -2.584e-7, -6.235e-6
1.167, -2.475e-7, -6.260e-6
1.166, -2.311e-7, -6.283e-6
1.165, -2.231e-7, -6.306e-6
1.164, -2.177e-7, -6.327e-6
1.163, -2.141e-7, -6.349e-6
1.162, -2.101e-7, -6.370e-6
1.161, -2.092e-7, -6.391e-6
1.160, -2.077e-7, -6.411e-6
1.159, -2.063e-7, -6.432e-6
1.158, -2.038e-7, -6.452e-6
1.157, -2.028e-7, -6.473e-6
1.156, -2.015e-7, -6.493e-6
1.155, -1.996e-7, -6.513e-6
1.154, -1.951e-7, -6.532e-6
1.153, -1.926e-7, -6.552e-6
1.152, -1.904e-7, -6.571e-6
1.151, -1.877e-7, -6.589e-6
1.150, -1.835e-7, -6.608e-6
1.149, -1.806e-7, -6.626e-6
1.148, -1.787e-7, -6.644e-6
1.147, -1.762e-7, -6.661e-6
1.146, -1.723e-7, -6.679e-6
1.145, -1.704e-7, -6.696e-6
1.144, -1.693e-7, -6.712e-6
1.143, -1.667e-7, -6.729e-6
1.142, -1.653e-7, -6.746e-6
1.141, -1.641e-7, -6.762e-6
1.140, -1.632e-7, -6.778e-6
1.139, -1.618e-7, -6.795e-6
1.138, -1.612e-7, -6.811e-6
1.137, -1.607e-7, -6.827e-6
1.136, -1.604e-7, -6.843e-6
1.135, -1.600e-7, -6.859e-6
1.134, -1.594e-7, -6.875e-6
1.133, -1.591e-7, -6.891e-6
1.132, -1.590e-7, -6.907e-6
1.131, -1.585e-7, -6.922e-6
1.130, -1.571e-7, -6.938e-6
1.129, -1.563e-7, -6.954e-6
1.128, -1.553e-7, -6.969e-6
1.127, -1.542e-7, -6.985e-6
1.126, -1.518e-7, -7.000e-6
1.125, -1.514e-7, -7.015e-6
1.124, -1.500e-7, -7.030e-6
1.123, -1.476e-7, -7.045e-6
1.122, -1.453e-7, -7.059e-6
1.121, -1.443e-7, -7.074e-6
1.120, -1.422e-7, -7.088e-6
1.119, -1.387e-7, -7.102e-6
1.118, -1.370e-7, -7.116e-6
1.117, -1.374e-7, -7.129e-6
1.116, -1.346e-7, -7.143e-6
1.115, -1.326e-7, -7.156e-6
1.114, -1.301e-7, -7.169e-6
1.113, -1.293e-7, -7.182e-6
1.112, -1.265e-7, -7.195e-6
1.111, -1.243e-7, -7.207e-6
1.110, -1.227e-7, -7.219e-6
1.109, -1.219e-7, -7.231e-6
1.108, -1.197e-7, -7.243e-6
1.107, -1.183e-7, -7.255e-6
1.106, -1.174e-7, -7.267e-6
1.105, -1.172e-7, -7.279e-6
1.104, -1.154e-7, -7.290e-6
1.103, -1.146e-7, -7.302e-6
1.102, -1.146e-7, -7.313e-6
1.101, -1.147e-7, -7.325e-6
1.100, -1.139e-7, -7.336e-6
1.099, -1.135e-7, -7.347e-6
1.098, -1.133e-7, -7.359e-6
1.097, -1.128e-7, -7.370e-6
1.096, -1.117e-7, -7.381e-6
1.095, -1.110e-7, -7.392e-6
1.094, -1.112e-7, -7.403e-6
1.093, -1.108e-7, -7.415e-6
1.092, -1.106e-7, -7.426e-6
1.091, -1.105e-7, -7.437e-6
1.090, -1.109e-7, -7.448e-6
1.089, -1.104e-7, -7.459e-6
1.088, -1.098e-7, -7.470e-6
1.087, -1.084e-7, -7.481e-6
1.086, -1.087e-7, -7.491e-6
1.085, -1.080e-7, -7.502e-6
1.084, -1.078e-7, -7.513e-6
1.083, -1.059e-7, -7.524e-6
1.082, -1.064e-7, -7.534e-6
1.081, -1.059e-7, -7.545e-6
1.080, -1.055e-7, -7.555e-6
1.079, -1.025e-7, -7.566e-6
1.078, -1.033e-7, -7.576e-6
1.077, -1.027e-7, -7.586e-6
1.076, -1.022e-7, -7.596e-6
1.075, -9.911e-8, -7.606e-6
1.074, -1.007e-7, -7.616e-6
1.073, -9.966e-8, -7.626e-6
1.072, -9.926e-8, -7.636e-6
1.071, -9.570e-8, -7.646e-6
1.070, -9.663e-8, -7.656e-6
1.069, -9.360e-8, -7.665e-6
1.068, -9.375e-8, -7.674e-6
1.067, -9.352e-8, -7.684e-6
1.066, -9.544e-8, -7.693e-6
1.065, -9.128e-8, -7.702e-6
1.064, -9.040e-8, -7.711e-6
1.063, -8.817e-8, -7.720e-6
1.062, -8.913e-8, -7.729e-6
1.061, -8.512e-8, -7.738e-6
1.060, -8.495e-8, -7.746e-6
1.059, -8.312e-8, -7.754e-6
1.058, -8.414e-8, -7.763e-6
1.057, -8.014e-8, -7.771e-6
1.056, -8.011e-8, -7.779e-6
1.055, -7.830e-8, -7.787e-6
1.054, -8.014e-8, -7.795e-6
1.053, -7.639e-8, -7.802e-6
1.052, -7.674e-8, -7.810e-6
1.051, -7.598e-8, -7.818e-6
1.050, -7.803e-8, -7.825e-6
1.049, -7.437e-8, -7.833e-6
1.048, -7.385e-8, -7.840e-6
1.047, -7.265e-8, -7.848e-6
1.046, -7.433e-8, -7.855e-6
1.045, -7.149e-8, -7.862e-6
1.044, -7.079e-8, -7.869e-6
1.043, -6.933e-8, -7.876e-6
1.042, -7.016e-8, -7.883e-6
1.041, -6.877e-8, -7.890e-6
1.040, -6.876e-8, -7.897e-6
1.039, -6.793e-8, -7.904e-6
1.038, -6.832e-8, -7.911e-6
1.037, -6.670e-8, -7.917e-6
1.036, -6.681e-8, -7.924e-6
1.035, -6.635e-8, -7.930e-6
1.034, -6.652e-8, -7.937e-6
1.033, -6.544e-8, -7.944e-6
1.032, -6.535e-8, -7.950e-6
1.031, -6.441e-8, -7.957e-6
1.030, -6.471e-8, -7.963e-6
1.029, -6.445e-8, -7.970e-6
1.028, -6.425e-8, -7.976e-6
1.027, -6.339e-8, -7.982e-6
1.026, -6.354e-8, -7.989e-6
1.025, -6.331e-8, -7.995e-6
1.024, -6.309e-8, -8.001e-6
1.023, -6.266e-8, -8.008e-6
1.022, -6.279e-8, -8.014e-6
1.021, -6.254e-8, -8.020e-6
1.020, -6.252e-8, -8.026e-6
1.019, -6.235e-8, -8.033e-6
1.018, -6.238e-8, -8.039e-6
1.017, -6.220e-8, -8.045e-6
1.016, -6.237e-8, -8.051e-6
1.015, -6.209e-8, -8.058e-6
1.014, -6.196e-8, -8.064e-6
1.013, -6.151e-8, -8.070e-6
1.012, -6.140e-8, -8.076e-6
1.011, -6.099e-8, -8.082e-6
1.010, -6.052e-8, -8.088e-6
1.009, -6.041e-8, -8.094e-6
1.008, -6.040e-8, -8.100e-6
1.007, -5.999e-8, -8.106e-6
1.006, -5.937e-8, -8.112e-6
1.005, -5.950e-8, -8.118e-6
1.004, -5.937e-8, -8.124e-6
1.003, -5.922e-8, -8.130e-6
1.002, -5.794e-8, -8.136e-6
1.001, -5.814e-8, -8.142e-6
1.000, -5.795e-8, -8.147e-6
0.999, -5.756e-8, -8.153e-6
0.998, -5.650e-8, -8.159e-6
0.997, -5.717e-8, -8.165e-6
0.996, -5.694e-8, -8.170e-6
0.995, -5.613e-8, -8.176e-6
0.994, -5.409e-8, -8.181e-6
0.993, -5.432e-8, -8.187e-6
0.992, -5.395e-8, -8.192e-6
0.991, -5.334e-8, -8.197e-6
0.990, -5.233e-8, -8.203e-6
0.989, -5.288e-8, -8.208e-6
0.988, -5.197e-8, -8.213e-6
0.987, -5.088e-8, -8.218e-6
0.986, -4.852e-8, -8.223e-6
0.985, -4.920e-8, -8.228e-6
0.984, -4.897e-8, -8.233e-6
0.983, -4.720e-8, -8.238e-6
0.982, -4.602e-8, -8.242e-6
0.981, -4.702e-8, -8.247e-6
0.980, -4.626e-8, -8.252e-6
0.979, -4.451e-8, -8.256e-6
0.978, -4.312e-8, -8.260e-6
0.977, -4.390e-8, -8.265e-6
0.976, -4.286e-8, -8.269e-6
0.975, -4.149e-8, -8.273e-6
0.974, -4.063e-8, -8.277e-6
0.973, -4.145e-8, -8.281e-6
0.972, -4.038e-8, -8.285e-6
0.971, -3.876e-8, -8.289e-6
0.970, -3.752e-8, -8.293e-6
0.969, -3.865e-8, -8.297e-6
0.968, -3.773e-8, -8.301e-6
0.967, -3.620e-8, -8.304e-6
0.966, -3.606e-8, -8.308e-6
0.965, -3.647e-8, -8.311e-6
0.964, -3.392e-8, -8.315e-6
0.963, -3.223e-8, -8.318e-6
0.962, -3.166e-8, -8.321e-6
0.961, -3.210e-8, -8.324e-6
0.960, -2.964e-8, -8.327e-6
0.959, -2.894e-8, -8.330e-6
0.958, -2.874e-8, -8.333e-6
0.957, -2.921e-8, -8.336e-6
0.956, -2.724e-8, -8.339e-6
0.955, -2.657e-8, -8.342e-6
0.954, -2.641e-8, -8.344e-6
0.953, -2.666e-8, -8.347e-6
0.952, -2.493e-8, -8.349e-6
0.951, -2.468e-8, -8.352e-6
0.950, -2.434e-8, -8.354e-6
0.949, -2.472e-8, -8.357e-6
0.948, -2.262e-8, -8.359e-6
0.947, -2.324e-8, -8.361e-6
0.946, -2.257e-8, -8.364e-6
0.945, -2.297e-8, -8.366e-6
0.944, -2.126e-8, -8.368e-6
0.943, -2.075e-8, -8.370e-6
0.942, -2.058e-8, -8.372e-6
0.941, -2.069e-8, -8.374e-6
0.940, -1.932e-8, -8.376e-6
0.939, -1.931e-8, -8.378e-6
0.938, -1.893e-8, -8.380e-6
0.937, -1.854e-8, -8.382e-6
0.936, -1.770e-8, -8.384e-6
0.935, -1.721e-8, -8.385e-6
0.934, -1.722e-8, -8.387e-6
0.933, -1.693e-8, -8.389e-6
0.932, -1.634e-8, -8.390e-6
0.931, -1.628e-8, -8.392e-6
0.930, -1.681e-8, -8.394e-6
0.929, -1.663e-8, -8.395e-6
0.928, -1.607e-8, -8.397e-6
0.927, -1.613e-8, -8.399e-6
0.926, -1.586e-8, -8.400e-6
0.925, -1.529e-8, -8.402e-6
0.924, -1.470e-8, -8.403e-6
0.923, -1.490e-8, -8.405e-6
0.922, -1.464e-8, -8.406e-6
0.921, -1.421e-8, -8.407e-6
0.920, -1.397e-8, -8.409e-6
0.919, -1.407e-8, -8.410e-6
0.918, -1.391e-8, -8.412e-6
0.917, -1.359e-8, -8.413e-6
0.916, -1.302e-8, -8.414e-6
0.915, -1.333e-8, -8.416e-6
0.914, -1.314e-8, -8.417e-6
0.913, -1.298e-8, -8.418e-6
0.912, -1.232e-8, -8.419e-6
0.911, -1.268e-8, -8.421e-6
0.910, -1.251e-8, -8.422e-6
0.909, -1.212e-8, -8.423e-6
0.908, -1.138e-8, -8.424e-6
0.907, -1.162e-8, -8.426e-6
0.906, -1.134e-8, -8.427e-6
0.905, -1.134e-8, -8.428e-6
0.904, -1.056e-8, -8.429e-6
0.903, -1.075e-8, -8.430e-6
0.902, -1.049e-8, -8.431e-6
0.901, -1.035e-8, -8.432e-6
0.900, -9.469e-9, -8.433e-6
0.899, -1.009e-8, -8.434e-6
0.898, -9.819e-9, -8.435e-6
0.897, -9.014e-9, -8.436e-6
0.896, -8.399e-9, -8.437e-6
0.895, -8.479e-9, -8.438e-6
0.894, -8.492e-9, -8.438e-6
0.893, -7.950e-9, -8.439e-6
0.892, -6.709e-9, -8.440e-6
0.891, -7.184e-9, -8.441e-6
0.890, -6.557e-9, -8.441e-6
0.889, -6.266e-9, -8.442e-6
0.888, -5.296e-9, -8.442e-6
0.887, -5.514e-9, -8.443e-6
0.886, -4.648e-9, -8.443e-6
0.885, -4.503e-9, -8.444e-6
0.884, -3.744e-9, -8.444e-6
0.883, -3.935e-9, -8.445e-6
0.882, -2.489e-9, -8.445e-6
0.881, -2.080e-9, -8.445e-6
0.880, -1.637e-9, -8.445e-6
0.879, -1.822e-9, -8.445e-6
0.878, 9.968e-11, -8.445e-6
0.877, 5.025e-10, -8.445e-6
0.876, 6.808e-10, -8.445e-6
0.875, 4.827e-10, -8.445e-6
0.874, 2.801e-9, -8.445e-6
0.873, 2.840e-9, -8.445e-6
0.872, 2.708e-9, -8.444e-6
0.871, 3.263e-9, -8.444e-6
0.870, 5.297e-9, -8.444e-6
0.869, 4.808e-9, -8.443e-6
0.868, 5.330e-9, -8.443e-6
0.867, 5.231e-9, -8.442e-6
0.866, 7.674e-9, -8.441e-6
0.865, 6.869e-9, -8.441e-6
0.864, 7.265e-9, -8.440e-6
0.863, 7.463e-9, -8.439e-6
0.862, 9.755e-9, -8.438e-6
0.861, 8.665e-9, -8.437e-6
0.860, 9.596e-9, -8.436e-6
0.859, 9.365e-9, -8.435e-6
0.858, 1.255e-8, -8.434e-6
0.857, 1.174e-8, -8.433e-6
0.856, 1.215e-8, -8.432e-6
0.855, 1.219e-8, -8.430e-6
0.854, 1.441e-8, -8.429e-6
0.853, 1.396e-8, -8.428e-6
0.852, 1.419e-8, -8.426e-6
0.851, 1.428e-8, -8.425e-6
0.850, 1.702e-8, -8.423e-6
0.849, 1.690e-8, -8.421e-6
0.848, 1.652e-8, -8.420e-6
0.847, 1.696e-8, -8.418e-6
0.846, 1.913e-8, -8.416e-6
0.845, 1.874e-8, -8.414e-6
0.844, 1.857e-8, -8.412e-6
0.843, 1.930e-8, -8.410e-6
0.842, 2.132e-8, -8.408e-6
0.841, 2.117e-8, -8.406e-6
0.840, 2.099e-8, -8.404e-6
0.839, 2.229e-8, -8.402e-6
0.838, 2.354e-8, -8.400e-6
0.837, 2.302e-8, -8.397e-6
0.836, 2.341e-8, -8.395e-6
0.835, 2.405e-8, -8.393e-6
0.834, 2.529e-8, -8.390e-6
0.833, 2.500e-8, -8.387e-6
0.832, 2.578e-8, -8.385e-6
0.831, 2.646e-8, -8.382e-6
0.830, 2.698e-8, -8.380e-6
0.829, 2.652e-8, -8.377e-6
0.828, 2.661e-8, -8.374e-6
0.827, 2.702e-8, -8.372e-6
0.826, 2.741e-8, -8.369e-6
0.825, 2.688e-8, -8.366e-6
0.824, 2.856e-8, -8.363e-6
0.823, 2.954e-8, -8.360e-6
0.822, 2.953e-8, -8.357e-6
0.821, 2.912e-8, -8.354e-6
0.820, 2.970e-8, -8.351e-6
0.819, 2.933e-8, -8.349e-6
0.818, 3.018e-8, -8.346e-6
0.817, 3.005e-8, -8.343e-6
0.816, 3.138e-8, -8.339e-6
0.815, 3.174e-8, -8.336e-6
0.814, 3.188e-8, -8.333e-6
0.813, 3.121e-8, -8.330e-6
0.812, 3.194e-8, -8.327e-6
0.811, 3.214e-8, -8.323e-6
0.810, 3.239e-8, -8.320e-6
0.809, 3.223e-8, -8.317e-6
0.808, 3.295e-8, -8.314e-6
0.807, 3.317e-8, -8.310e-6
0.806, 3.336e-8, -8.307e-6
0.805, 3.308e-8, -8.304e-6
0.804, 3.378e-8, -8.300e-6
0.803, 3.402e-8, -8.297e-6
0.802, 3.404e-8, -8.294e-6
0.801, 3.371e-8, -8.290e-6
0.800, 3.422e-8, -8.287e-6
0.799, 3.447e-8, -8.283e-6
0.798, 3.442e-8, -8.280e-6
0.797, 3.418e-8, -8.276e-6
0.796, 3.462e-8, -8.273e-6
0.795, 3.466e-8, -8.270e-6
0.794, 3.474e-8, -8.266e-6
0.793, 3.449e-8, -8.263e-6
0.792, 3.490e-8, -8.259e-6
0.791, 3.519e-8, -8.256e-6
0.790, 3.511e-8, -8.252e-6
0.789, 3.507e-8, -8.249e-6
0.788, 3.533e-8, -8.245e-6
0.787, 3.554e-8, -8.242e-6
0.786, 3.560e-8, -8.238e-6
0.785, 3.563e-8, -8.234e-6
0.784, 3.578e-8, -8.231e-6
0.783, 3.602e-8, -8.227e-6
0.782, 3.614e-8, -8.224e-6
0.781, 3.608e-8, -8.220e-6
0.780, 3.635e-8, -8.216e-6
0.779, 3.655e-8, -8.213e-6
0.778, 3.668e-8, -8.209e-6
0.777, 3.668e-8, -8.205e-6
0.776, 3.702e-8, -8.202e-6
0.775, 3.737e-8, -8.198e-6
0.774, 3.747e-8, -8.194e-6
0.773, 3.755e-8, -8.190e-6
0.772, 3.809e-8, -8.187e-6
0.771, 3.824e-8, -8.183e-6
0.770, 3.831e-8, -8.179e-6
0.769, 3.848e-8, -8.175e-6
0.768, 3.937e-8, -8.171e-6
0.767, 3.975e-8, -8.167e-6
0.766, 3.976e-8, -8.163e-6
0.765, 3.997e-8, -8.159e-6
0.764, 4.110e-8, -8.155e-6
0.763, 4.129e-8, -8.151e-6
0.762, 4.150e-8, -8.147e-6
0.761, 4.154e-8, -8.143e-6
0.760, 4.269e-8, -8.138e-6
0.759, 4.288e-8, -8.134e-6
0.758, 4.267e-8, -8.130e-6
0.757, 4.338e-8, -8.126e-6
0.756, 4.491e-8, -8.121e-6
0.755, 4.512e-8, -8.117e-6
0.754, 4.521e-8, -8.112e-6
0.753, 4.560e-8, -8.107e-6
0.752, 4.744e-8, -8.103e-6
0.751, 4.752e-8, -8.098e-6
0.750, 4.738e-8, -8.093e-6
0.749, 4.804e-8, -8.088e-6
0.748, 5.038e-8, -8.083e-6
0.747, 4.979e-8, -8.078e-6
0.746, 5.021e-8, -8.073e-6
0.745, 5.119e-8, -8.068e-6
0.744, 5.326e-8, -8.063e-6
0.743, 5.302e-8, -8.058e-6
0.742, 5.240e-8, -8.052e-6
0.741, 5.393e-8, -8.047e-6
0.740, 5.598e-8, -8.041e-6
0.739, 5.518e-8, -8.036e-6
0.738, 5.563e-8, -8.030e-6
0.737, 5.642e-8, -8.025e-6
0.736, 5.877e-8, -8.019e-6
0.735, 5.856e-8, -8.013e-6
0.734, 5.869e-8, -8.007e-6
0.733, 6.078e-8, -8.001e-6
0.732, 6.226e-8, -7.995e-6
0.731, 6.157e-8, -7.989e-6
0.730, 6.196e-8, -7.982e-6
0.729, 6.405e-8, -7.976e-6
0.728, 6.478e-8, -7.970e-6
0.727, 6.439e-8, -7.963e-6
0.726, 6.451e-8, -7.957e-6
0.725, 6.649e-8, -7.950e-6
0.724, 6.811e-8, -7.943e-6
0.723, 6.723e-8, -7.936e-6
0.722, 6.802e-8, -7.930e-6
0.721, 6.982e-8, -7.923e-6
0.720, 7.075e-8, -7.916e-6
0.719, 7.050e-8, -7.909e-6
0.718, 7.147e-8, -7.901e-6
0.717, 7.317e-8, -7.894e-6
0.716, 7.372e-8, -7.887e-6
0.715, 7.258e-8, -7.879e-6
0.714, 7.411e-8, -7.872e-6
0.713, 7.580e-8, -7.864e-6
0.712, 7.568e-8, -7.857e-6
0.711, 7.554e-8, -7.849e-6
0.710, 7.696e-8, -7.842e-6
0.709, 7.786e-8, -7.834e-6
0.708, 7.808e-8, -7.826e-6
0.707, 7.764e-8, -7.818e-6
0.706, 7.926e-8, -7.810e-6
0.705, 7.983e-8, -7.802e-6
0.704, 8.023e-8, -7.794e-6
0.703, 7.983e-8, -7.786e-6
0.702, 8.110e-8, -7.778e-6
0.701, 8.179e-8, -7.770e-6
0.700, 8.191e-8, -7.762e-6
0.699, 8.160e-8, -7.754e-6
0.698, 8.255e-8, -7.745e-6
0.697, 8.349e-8, -7.737e-6
0.696, 8.316e-8, -7.729e-6
0.695, 8.302e-8, -7.721e-6
0.694, 8.384e-8, -7.712e-6
0.693, 8.482e-8, -7.704e-6
0.692, 8.442e-8, -7.695e-6
0.691, 8.404e-8, -7.687e-6
0.690, 8.493e-8, -7.678e-6
0.689, 8.650e-8, -7.670e-6
0.688, 8.563e-8, -7.661e-6
0.687, 8.596e-8, -7.652e-6
0.686, 8.641e-8, -7.644e-6
0.685, 8.800e-8, -7.635e-6
0.684, 8.703e-8, -7.626e-6
0.683, 8.734e-8, -7.618e-6
0.682, 8.783e-8, -7.609e-6
0.681, 8.991e-8, -7.600e-6
0.680, 8.874e-8, -7.591e-6
0.679, 8.931e-8, -7.582e-6
0.678, 8.953e-8, -7.573e-6
0.677, 9.244e-8, -7.564e-6
0.676, 9.164e-8, -7.555e-6
0.675, 9.160e-8, -7.546e-6
0.674, 9.185e-8, -7.536e-6
0.673, 9.484e-8, -7.527e-6
0.672, 9.380e-8, -7.517e-6
0.671, 9.375e-8, -7.508e-6
0.670, 9.430e-8, -7.499e-6
0.669, 9.805e-8, -7.489e-6
0.668, 9.673e-8, -7.479e-6
0.667, 9.653e-8, -7.470e-6
0.666, 9.772e-8, -7.460e-6
0.665, 1.014e-7, -7.450e-6
0.664, 9.944e-8, -7.440e-6
0.663, 1.008e-7, -7.430e-6
0.662, 1.023e-7, -7.419e-6
0.661, 1.046e-7, -7.409e-6
0.660, 1.031e-7, -7.399e-6
0.659, 1.056e-7, -7.388e-6
0.658, 1.067e-7, -7.377e-6
0.657, 1.082e-7, -7.367e-6
0.656, 1.069e-7, -7.356e-6
0.655, 1.105e-7, -7.345e-6
0.654, 1.105e-7, -7.334e-6
0.653, 1.120e-7, -7.323e-6
0.652, 1.113e-7, -7.311e-6
0.651, 1.144e-7, -7.300e-6
0.650, 1.145e-7, -7.289e-6
0.649, 1.156e-7, -7.277e-6
0.648, 1.145e-7, -7.266e-6
0.647, 1.182e-7, -7.254e-6
0.646, 1.182e-7, -7.242e-6
0.645, 1.198e-7, -7.230e-6
0.644, 1.181e-7, -7.218e-6
0.643, 1.211e-7, -7.206e-6
0.642, 1.220e-7, -7.194e-6
0.641, 1.231e-7, -7.181e-6
0.640, 1.210e-7, -7.169e-6
0.639, 1.240e-7, -7.157e-6
0.638, 1.252e-7, -7.144e-6
0.637, 1.262e-7, -7.132e-6
0.636, 1.250e-7, -7.119e-6
0.635, 1.270e-7, -7.107e-6
0.634, 1.279e-7, -7.094e-6
0.633, 1.285e-7, -7.081e-6
0.632, 1.281e-7, -7.068e-6
0.631, 1.295e-7, -7.055e-6
0.630, 1.301e-7, -7.042e-6
0.629, 1.308e-7, -7.029e-6
0.628, 1.310e-7, -7.016e-6
0.627, 1.317e-7, -7.003e-6
0.626, 1.320e-7, -6.990e-6
0.625, 1.326e-7, -6.976e-6
0.624, 1.329e-7, -6.963e-6
0.623, 1.333e-7, -6.950e-6
0.622, 1.337e-7, -6.936e-6
0.621, 1.345e-7, -6.923e-6
0.620, 1.347e-7, -6.910e-6
0.619, 1.354e-7, -6.896e-6
0.618, 1.363e-7, -6.882e-6
0.617, 1.369e-7, -6.869e-6
0.616, 1.373e-7, -6.855e-6
0.615, 1.389e-7, -6.841e-6
0.614, 1.400e-7, -6.827e-6
0.613, 1.405e-7, -6.813e-6
0.612, 1.416e-7, -6.799e-6
0.611, 1.434e-7, -6.784e-6
0.610, 1.441e-7, -6.770e-6
0.609, 1.447e-7, -6.756e-6
0.608, 1.472e-7, -6.741e-6
0.607, 1.492e-7, -6.726e-6
0.606, 1.496e-7, -6.711e-6
0.605, 1.504e-7, -6.696e-6
0.604, 1.537e-7, -6.681e-6
0.603, 1.549e-7, -6.665e-6
0.602, 1.554e-7, -6.650e-6
0.601, 1.565e-7, -6.634e-6
0.600, 1.599e-7, -6.618e-6
0.599, 1.610e-7, -6.602e-6
0.598, 1.618e-7, -6.586e-6
0.597, 1.624e-7, -6.569e-6
0.596, 1.661e-7, -6.553e-6
0.595, 1.672e-7, -6.536e-6
0.594, 1.677e-7, -6.519e-6
0.593, 1.690e-7, -6.502e-6
0.592, 1.716e-7, -6.485e-6
0.591, 1.733e-7, -6.468e-6
0.590, 1.734e-7, -6.451e-6
0.589, 1.741e-7, -6.433e-6
0.588, 1.764e-7, -6.416e-6
0.587, 1.771e-7, -6.398e-6
0.586, 1.780e-7, -6.380e-6
0.585, 1.793e-7, -6.362e-6
0.584, 1.801e-7, -6.344e-6
0.583, 1.808e-7, -6.326e-6
0.582, 1.815e-7, -6.308e-6
0.581, 1.823e-7, -6.290e-6
0.580, 1.836e-7, -6.271e-6
0.579, 1.839e-7, -6.253e-6
0.578, 1.848e-7, -6.234e-6
0.577, 1.857e-7, -6.216e-6
0.576, 1.882e-7, -6.197e-6
0.575, 1.885e-7, -6.178e-6
0.574, 1.894e-7, -6.159e-6
0.573, 1.911e-7, -6.140e-6
0.572, 1.944e-7, -6.121e-6
0.571, 1.949e-7, -6.101e-6
0.570, 1.968e-7, -6.081e-6
0.569, 1.997e-7, -6.061e-6
0.568, 2.028e-7, -6.041e-6
0.567, 2.035e-7, -6.021e-6
